Número;Solicitante;Estado;Prioridad;Asignado a;Abierto;Actualizado;Resuelto;Tiempo de trabajo;Horas snow;Horas Real;Horas Trabajo;Mes;Año;Actualizado definitivo;Cerrado;Abierto definitivo;Cerrado definitivo;Resuelto definitivo;Mes definitivo desde Cerrado definitivo
"INC2053871";"Solicitante 25";"Cancelado";"3 - Moderada";"Asignado 4";"06/06/2024 12:15";"06/06/2024 12:37";"";0;0;;0;"No cerrada";2024;2024-06-06 12:37:00,000;"06/06/2024 12:37";2024-06-06 12:15:00,000;2024-06-06 12:37:00,000;;"junio"
"INC2055147";"Solicitante 18";"Cancelado";"4 - Baja";"Asignado 2";"07/06/2024 9:40";"10/06/2024 10:21";"";0;0;;0;"jun";2024;2024-06-10 10:21:00,000;"10/06/2024 10:21";2024-06-07 09:40:00,000;2024-06-10 10:21:00,000;;"junio"
"INC2060380";"Solicitante 24";"Cancelado";"2 - Alta";"Asignado 5";"12/06/2024 8:11";"12/06/2024 9:27";"";0;0;;0;"may";2024;2024-06-12 09:27:00,000;"12/06/2024 9:27";2024-06-12 08:11:00,000;2024-06-12 09:27:00,000;;"junio"
"INC2061428";"Solicitante 33";"Cancelado";"3 - Moderada";"Asignado 5";"13/06/2024 0:55";"14/06/2024 7:48";"";300;0,08;;0,08;"jun";2024;2024-06-14 07:48:00,000;"14/06/2024 7:48";2024-06-13 00:55:00,000;2024-06-14 07:48:00,000;;"junio"
"INC2061712";"Solicitante 29";"Cancelado";"3 - Moderada";"Asignado 3";"13/06/2024 8:11";"13/06/2024 9:13";"";300;0,08;;0,08;"jun";2024;2024-06-13 09:13:00,000;"13/06/2024 9:13";2024-06-13 08:11:00,000;2024-06-13 09:13:00,000;;"junio"
"INC2062047";"Solicitante 13";"Cancelado";"3 - Moderada";"Asignado 2";"13/06/2024 12:38";"13/06/2024 12:42";"";0;0;;0;"jun";2024;2024-06-13 12:42:00,000;"13/06/2024 12:42";2024-06-13 12:38:00,000;2024-06-13 12:42:00,000;;"junio"
"INC2066383";"Solicitante 5";"Cancelado";"4 - Baja";"Asignado 2";"18/06/2024 10:12";"18/07/2024 8:45";"";22200;6,17;;6,17;"jul";2024;2024-07-18 08:45:00,000;"18/07/2024 8:45";2024-06-18 10:12:00,000;2024-07-18 08:45:00,000;;"julio"
"INC2080480";"Solicitante 36";"Cancelado";"4 - Baja";"Asignado 5";"24/06/2024 20:27";"26/06/2024 15:45";"";7200;2;;2;"jun";2024;2024-06-26 15:45:00,000;"26/06/2024 15:45";2024-06-24 20:27:00,000;2024-06-26 15:45:00,000;;"junio"
"INC2084086";"Solicitante 27";"Cancelado";"3 - Moderada";"Asignado 4";"28/06/2024 0:03";"01/07/2024 18:16";"";3600;1;;1;"jul";2024;2024-07-01 18:16:00,000;"01/07/2024 18:16";2024-06-28 00:03:00,000;2024-07-01 18:16:00,000;;"julio"
"INC2086779";"Solicitante 3";"Cancelado";"4 - Baja";"Asignado 4";"01/07/2024 18:00";"02/07/2024 10:01";"";1800;0,5;;0,5;"jul";2024;2024-07-02 10:01:00,000;"02/07/2024 10:01";2024-07-01 18:00:00,000;2024-07-02 10:01:00,000;;"julio"
"INC2100121";"Solicitante 33";"Cancelado";"3 - Moderada";"Asignado 4";"17/07/2024 13:36";"18/07/2024 10:55";"";0;0;;0;"jul";2023;2024-07-18 10:55:00,000;"18/07/2024 10:55";2024-07-17 13:36:00,000;2024-07-18 10:55:00,000;;"julio"
"INC2100285";"Solicitante 13";"Cancelado";"3 - Moderada";"Asignado 3";"17/07/2024 15:14";"18/07/2024 9:00";"";0;0;;0;"jul";2024;2024-07-18 09:00:00,000;"18/07/2024 9:00";2024-07-17 15:14:00,000;2024-07-18 09:00:00,000;;"julio"
"INC2108104";"Solicitante 28";"Cancelado";"5 - Muy Baja";"Asignado 5";"24/07/2024 11:34";"29/07/2024 14:56";"";300;0,08;;0,08;"jul";2024;2024-07-29 14:56:00,000;"29/07/2024 14:56";2024-07-24 11:34:00,000;2024-07-29 14:56:00,000;;"julio"
"INC2125172";"Solicitante 9";"Cancelado";"5 - Muy Baja";"Asignado 3";"09/08/2024 3:08";"04/09/2024 9:04";"";12600;3,5;;3,5;"sept";2024;2024-09-04 09:04:00,000;"04/09/2024 9:04";2024-08-09 03:08:00,000;2024-09-04 09:04:00,000;;"septiembre"
"INC2140676";"Solicitante 3";"Cancelado";"3 - Moderada";"Asignado 3";"23/08/2024 9:59";"26/08/2024 11:25";"";300;0,08;;0,08;"ago";2024;2024-08-26 11:25:00,000;"26/08/2024 11:25";2024-08-23 09:59:00,000;2024-08-26 11:25:00,000;;"agosto"
"INC2150820";"Solicitante 31";"Cancelado";"2 - Alta";"Asignado 2";"02/09/2024 15:25";"03/09/2024 15:06";"";7200;2;;2;"sept";2024;2024-09-03 15:06:00,000;"03/09/2024 15:06";2024-09-02 15:25:00,000;2024-09-03 15:06:00,000;;"septiembre"
"INC2172529";"Solicitante 1";"Cancelado";"3 - Moderada";"Asignado 1";"19/09/2024 17:00";"02/10/2024 10:30";"";3600;1;;1;"oct";2024;2024-10-02 10:30:00,000;"02/10/2024 10:30";2024-09-19 17:00:00,000;2024-10-02 10:30:00,000;;"octubre"
"INC2180051";"Solicitante 5";"Cancelado";"2 - Alta";"Asignado 1";"25/09/2024 11:27";"25/09/2024 11:49";"";0;0;;0;"sept";2024;2024-09-25 11:49:00,000;"25/09/2024 11:49";2024-09-25 11:27:00,000;2024-09-25 11:49:00,000;;"septiembre"
"INC2180068";"Solicitante 13";"Cancelado";"2 - Alta";"Asignado 4";"25/09/2024 11:40";"25/09/2024 11:55";"";0;0;;0;"jul";2024;2024-09-25 11:55:00,000;"25/09/2024 11:55";2024-09-25 11:40:00,000;2024-09-25 11:55:00,000;;"septiembre"
"INC2185497";"Solicitante 1";"Cancelado";"2 - Alta";"Asignado 1";"03/10/2024 8:44";"03/10/2024 9:00";"";0;0;;0;"oct";2024;2024-10-03 09:00:00,000;"03/10/2024 9:00";2024-10-03 08:44:00,000;2024-10-03 09:00:00,000;;"octubre"
"INC2186238";"Solicitante 22";"Cancelado";"3 - Moderada";"Asignado 2";"04/10/2024 8:28";"04/10/2024 9:54";"";0;0;;0;"No aplica";2024;2024-10-04 09:54:00,000;"04/10/2024 9:54";2024-10-04 08:28:00,000;2024-10-04 09:54:00,000;;"octubre"
"INC2188364";"Solicitante 11";"Cancelado";"3 - Moderada";"Asignado 3";"07/10/2024 8:21";"07/10/2024 11:38";"";0;0;;0;"oct";2024;2024-10-07 11:38:00,000;"07/10/2024 11:38";2024-10-07 08:21:00,000;2024-10-07 11:38:00,000;;"octubre"
"INC2191671";"Solicitante 23";"Cancelado";"4 - Baja";"Asignado 1";"09/10/2024 15:53";"10/10/2024 12:07";"";1800;0,5;;0,5;"oct";2024;2024-10-10 12:07:00,000;"10/10/2024 12:07";2024-10-09 15:53:00,000;2024-10-10 12:07:00,000;;"octubre"
"INC2200386";"Solicitante 10";"Cancelado";"4 - Baja";"Asignado 2";"17/10/2024 1:32";"23/10/2024 9:26";"";480;0,13;;0,13;"oct";2024;2024-10-23 09:26:00,000;"23/10/2024 9:26";2024-10-17 01:32:00,000;2024-10-23 09:26:00,000;;"octubre"
"INC2200387";"Solicitante 35";"Cancelado";"4 - Baja";"Asignado 5";"17/10/2024 1:33";"23/10/2024 9:25";"";420;0,12;;0,12;"No cerrada";2024;2024-10-23 09:25:00,000;"23/10/2024 9:25";2024-10-17 01:33:00,000;2024-10-23 09:25:00,000;;"octubre"
"INC2203609";"Solicitante 6";"Cancelado";"3 - Moderada";"Asignado 1";"18/10/2024 19:05";"21/10/2024 8:42";"";60;0,02;;0,02;"oct";2024;2024-10-21 08:42:00,000;"21/10/2024 8:42";2024-10-18 19:05:00,000;2024-10-21 08:42:00,000;;"octubre"
"INC2209982";"Solicitante 10";"Cancelado";"3 - Moderada";"Asignado 3";"23/10/2024 15:40";"26/11/2024 14:40";"";41400;11,62;;11,62;"mar";2024;2024-11-26 14:40:00,000;"26/11/2024 14:40";2024-10-23 15:40:00,000;2024-11-26 14:40:00,000;;"noviembre"
"INC2216540";"Solicitante 10";"Cancelado";"4 - Baja";"Asignado 3";"29/10/2024 14:01";"29/10/2024 14:53";"";3600;1;;1;"oct";2024;2024-10-29 14:53:00,000;"29/10/2024 14:53";2024-10-29 14:01:00,000;2024-10-29 14:53:00,000;;"octubre"
"INC2216830";"Solicitante 29";"Cancelado";"3 - Moderada";"Asignado 5";"29/10/2024 19:38";"04/11/2024 9:07";"";1201;0,33;;0,33;"nov";2024;2024-11-04 09:07:00,000;"04/11/2024 9:07";2024-10-29 19:38:00,000;2024-11-04 09:07:00,000;;"noviembre"
"INC2225198";"Solicitante 12";"Cancelado";"2 - Alta";"Asignado 3";"06/11/2024 8:06";"11/11/2024 10:10";"";21600;6;;6;"nov";2024;2024-11-11 10:10:00,000;"11/11/2024 10:10";2024-11-06 08:06:00,000;2024-11-11 10:10:00,000;;"noviembre"
"INC2225282";"Solicitante 27";"Cancelado";"3 - Moderada";"Asignado 2";"06/11/2024 8:59";"08/11/2024 9:16";"";900;0,25;;0,25;"nov";2024;2024-11-08 09:16:00,000;"08/11/2024 9:16";2024-11-06 08:59:00,000;2024-11-08 09:16:00,000;;"noviembre"
